mesaj IP: 127.0.0.1 PORT:1122
mesaj IP: 127.0.0.1 PORT: 35347
mesaj IP: 127.0.0.1 PORT: 6297
mesaj IP: 127.0.0.1 PORT: 39193
ems IP: 127.0.0.1 PORT: 39453
1111 IP: 127.0.0.1 PORT: 39455
1111111 IP: 127.0.0.1 PORT: 39456
mesaj IP: 127.0.0.1 PORT: 50408
222222222222222 IP: 127.0.0.1 PORT: 50409
meg IP: 127.0.0.1 PORT: 50411
mesaj IP: 127.0.0.1 PORT: 50440
eeeee IP: 127.0.0.1 PORT: 50441
mesaj IP: 127.0.0.1 PORT: 50597
ssss IP: 127.0.0.1 PORT: 50598
[A[A[A IP: 127.0.0.1 PORT: 50599
mesaj IP: 127.0.0.1 PORT: 50600
wewe IP: 127.0.0.1 PORT: 50601
12121 IP: 127.0.0.1 PORT: 50602
1111 IP: 127.0.0.1 PORT: 50899
qwqw IP: 127.0.0.1 PORT: 50901
wewe IP: 127.0.0.1 PORT: 50902
ere IP: 127.0.0.1 PORT: 50910
este IP: 127.0.0.1 PORT: 50911
ere IP: 127.0.0.1 PORT: 50917
mesajj IP: 127.0.0.1 PORT: 51002
este IP: 127.0.0.1 PORT: 51003
epre IP: 127.0.0.1 PORT: 16327
este IP: 127.0.0.1 PORT: 51016
wewe IP: 127.0.0.1 PORT: 39613
hello IP: 127.0.0.1 PORT: 54800
imposibil IP: 127.0.0.1 PORT: 54801
