1000 6000
0 154 43
0 161 13
0 306 11
0 437 96
0 670 6
0 713 51
0 886 23
0 908 31
1 5 14
1 268 53
1 581 79
1 742 59
1 765 54
2 6 27
2 60 49
2 68 94
2 96 79
2 206 70
2 681 6
2 687 69
2 794 50
2 798 32
2 900 87
3 44 97
3 64 70
3 298 57
3 537 30
3 682 42
3 706 95
3 714 9
3 716 6
3 767 37
4 8 22
4 183 16
4 419 32
4 783 28
4 910 66
4 923 55
5 10 58
5 164 80
5 196 8
5 487 36
5 649 38
5 751 61
5 917 62
6 43 86
6 137 55
6 547 41
6 606 55
7 277 60
7 601 9
7 888 4
7 925 91
7 975 96
8 307 100
8 531 61
8 730 53
8 853 29
8 996 3
9 10 47
9 335 38
9 605 8
9 609 84
9 923 59
10 393 24
10 425 16
10 444 86
10 608 89
10 682 70
11 19 44
11 389 68
11 412 78
11 522 79
11 886 5
12 11 38
12 348 41
12 712 91
12 800 92
13 93 81
13 144 45
13 223 52
13 447 90
13 628 49
13 840 43
14 128 86
14 154 48
14 176 4
14 226 38
14 425 77
14 723 6
14 748 85
15 7 15
15 240 14
15 334 68
15 354 73
15 598 37
15 609 83
15 939 59
16 242 25
16 526 53
16 561 3
16 802 93
16 845 30
16 891 81
17 79 98
17 253 68
17 258 22
17 345 88
17 621 59
17 650 2
17 717 32
17 752 11
17 801 92
17 851 80
18 17 54
18 102 77
18 343 28
18 435 57
18 963 15
18 981 5
19 43 63
19 99 99
19 163 19
19 246 76
19 404 66
19 594 92
19 965 12
20 53 48
20 268 51
20 413 37
20 434 100
20 635 53
21 116 30
21 361 29
21 383 34
21 969 27
22 73 97
22 130 55
22 156 14
22 164 55
22 870 57
22 958 46
23 424 66
24 167 48
24 650 26
25 55 20
25 100 24
25 128 54
25 476 76
25 590 38
26 300 58
26 384 39
26 397 37
26 455 76
26 459 14
26 482 2
26 814 67
27 147 26
27 203 49
27 329 17
27 367 63
27 554 49
27 728 70
27 992 93
28 58 78
28 108 3
28 248 19
28 281 74
28 482 57
28 991 33
29 40 29
29 123 13
29 135 79
29 194 95
29 199 61
29 595 4
29 827 14
30 147 85
30 198 57
